Date,Close/Last,Open,High,Low
09/15/2023,118.6749,117.4633,119.3442,117.4633
09/14/2023,116.3841,114.9139,117.2705,114.8868
09/13/2023,114.6826,115.1034,115.6904,114.3368
09/12/2023,114.9998,114.0084,116.0618,114.0084
09/11/2023,114.8794,114.445,115.7543,114.3761
09/08/2023,113.1553,113.2501,115.0291,113.0891
09/07/2023,113.2008,113.594,113.594,112.793
09/06/2023,114.0513,113.675,115.0934,113.3166
09/05/2023,114.4034,116.1266,116.9882,114.1224
09/01/2023,117.3788,119.3967,120.272,117.3528
08/31/2023,117.8599,119.0064,119.191,117.2169
08/30/2023,119.1904,120.1745,120.8662,118.6714
08/29/2023,119.1939,116.8577,119.2307,116.3385
08/28/2023,117.1502,114.7556,117.523,114.7052
08/25/2023,114.404,115.6216,116.1628,113.1494
08/24/2023,115.6168,115.5897,116.8989,114.4481
08/23/2023,116.3391,113.7976,116.9347,113.7277
08/22/2023,112.8076,112.371,112.8609,111.2689
08/21/2023,111.973,111.715,112.2445,110.6008
08/18/2023,111.6751,111.8496,111.9229,110.9401
08/17/2023,112.3621,113.3741,113.7816,111.9415
08/16/2023,112.9211,113.9789,114.3192,112.7866
08/15/2023,114.4025,117.0126,117.2049,114.0922
08/14/2023,117.6005,117.9095,118.1506,116.3727
08/11/2023,119.2766,117.5636,119.3081,117.3423
08/10/2023,118.079,118.9159,119.6137,117.3801
08/09/2023,117.8928,118.6497,118.9518,117.3853
08/08/2023,118.4018,117.2038,118.617,116.1149
08/07/2023,118.7465,119.3304,119.5159,117.9381
08/04/2023,119.6257,119.2934,120.7677,119.0795
08/03/2023,118.4485,118.5212,119.7572,117.9538
08/02/2023,119.067,121.8999,121.9535,118.6166
08/01/2023,122.5591,123.7444,124.4263,122.4772
07/31/2023,127.0613,124.8543,128.0003,124.8043
07/28/2023,124.2727,124.0086,124.5771,123.1907
07/27/2023,122.8154,126.9535,126.9832,122.8035
07/26/2023,127.6431,127.8593,128.1314,126.4543
07/25/2023,128.1786,126.648,128.6484,126.6222
07/24/2023,126.3072,126.3322,126.9268,125.0827
07/21/2023,126.4795,126.0719,126.9028,125.8902
07/20/2023,126.7096,129.4637,129.759,126.6658
07/19/2023,129.7392,129.5814,130.0503,129.0541
07/18/2023,129.6497,128.4651,130.7697,127.9144
07/17/2023,127.2627,126.4237,127.591,125.2796
07/14/2023,127.1454,128.0926,128.8834,127.1454
07/13/2023,128.0804,127.9473,128.5223,127.5629
07/12/2023,126.9775,122.5937,127.3507,122.5833
07/11/2023,120.6258,120.3178,121.2567,119.8328
07/10/2023,119.6397,116.5364,119.8649,116.4018
07/07/2023,117.1054,116.4601,118.3362,116.3554
07/06/2023,115.6824,117.6887,117.7682,115.0264
07/05/2023,118.5972,121.7662,121.7662,118.5625
07/03/2023,121.9657,120.5949,122.4029,120.5278
06/30/2023,120.0301,118.3705,120.0617,117.896
06/29/2023,118.0029,115.4595,118.0675,115.2417
06/28/2023,116.6226,117.5591,117.914,116.246
06/27/2023,118.3731,119.674,120.0726,117.2582
06/26/2023,119.4632,118.9266,120.3957,118.1262
06/23/2023,118.3061,119.5022,120.3742,117.9939
06/22/2023,118.9492,117.9846,119.0089,117.6343
06/21/2023,119.2668,118.9536,119.8055,117.6584
06/20/2023,119.6285,122.2291,122.3019,119.5143
06/16/2023,124.2542,123.4797,125.4615,122.7282
06/15/2023,123.1558,122.8789,123.4062,121.7019
06/14/2023,123.2997,125.0964,125.4697,122.3009
06/13/2023,123.5954,124.8306,126.0805,123.2511
06/12/2023,123.9029,123.2478,124.076,122.3337
06/09/2023,123.8915,125.0747,125.277,123.6802
06/08/2023,125.4908,125.4945,126.7812,124.9918
06/07/2023,124.0441,126.1597,128.2424,123.6289
06/06/2023,125.7369,125.1932,125.7715,124.3197
06/05/2023,125.309,124.7567,125.9709,124.3429
06/02/2023,125.3447,127.14,127.7893,124.4234
06/01/2023,126.3964,123.025,127.5428,123.025
05/31/2023,122.3883,120.4267,123.4052,120.3989
05/30/2023,120.5218,122.0826,122.1149,119.9524
05/26/2023,121.7072,122.637,123.0134,120.9005
05/25/2023,121.1156,122.2449,122.4905,120.7549
05/24/2023,123.6435,126.8177,126.8177,123.3345
05/23/2023,126.8713,126.3483,127.481,125.767
05/22/2023,127.4936,127.6485,128.437,127.4755
05/19/2023,127.842,127.7436,129.4408,126.612
05/18/2023,127.2965,128.0862,128.1346,125.6614
05/17/2023,130.258,130.5338,130.9032,129.1725
05/16/2023,131.1305,133.5929,134.3596,130.5196
05/15/2023,134.6755,134.1131,135.4193,133.8902
05/12/2023,133.5172,132.8409,134.1722,132.489
05/11/2023,133.458,136.8783,137.6157,133.3963
05/10/2023,138.9054,140.282,140.3817,137.1377
05/09/2023,140.0631,139.714,140.8313,139.3266
05/08/2023,140.1503,141.2365,142.0542,139.5847
05/05/2023,140.5926,138.3555,141.321,137.2101
05/04/2023,141.1126,139.3914,143.1644,139.3827
05/03/2023,137.8427,137.4111,139.1165,136.9797
05/02/2023,137.5763,133.123,137.613,132.4243
05/01/2023,133.3476,135.6737,136.7819,133.3179
04/28/2023,133.9814,134.4876,135.0865,133.2623
04/27/2023,134.5997,132.0266,134.604,131.9508
04/26/2023,133.0704,135.6612,135.8063,132.735
04/25/2023,134.4394,134.3049,134.763,132.3467
04/24/2023,134.9667,134.1654,135.2166,133.1865
04/21/2023,134.2128,134.7911,135.5244,132.7791
04/20/2023,135.9416,136.8447,137.8637,135.7082
04/19/2023,136.093,136.7282,137.525,135.7977
04/18/2023,138.9202,138.8073,141.2275,138.3459
04/17/2023,138.2645,140.3664,140.4529,137.5652
04/14/2023,141.5376,142.1436,143.0419,138.7933
04/13/2023,144.3657,142.8739,145.1455,142.755
04/12/2023,140.2985,141.006,141.3582,138.8104
04/11/2023,139.0444,138.4842,140.7581,138.261
04/10/2023,137.3594,136.8692,137.4795,136.049
04/06/2023,138.6854,137.1096,138.7092,135.9698
04/05/2023,138.2031,139.4034,139.8228,136.3888
04/04/2023,138.0262,133.7149,138.4517,133.0173
04/03/2023,133.7249,131.5863,134.5957,131.0125
03/31/2023,131.4418,131.8531,132.6041,130.3272
03/30/2023,132.0109,131.2486,132.1283,130.5436
03/29/2023,129.9984,129.3805,131.313,129.1578
03/28/2023,130.3041,127.8022,130.3744,126.8924
03/27/2023,127.2922,124.549,127.315,124.2168
03/24/2023,127.0296,126.4622,127.8243,124.9764
03/23/2023,125.5922,124.4091,127.1522,123.8908
03/22/2023,123.2553,121.8691,125.5584,121.483
03/21/2023,121.5023,123.7906,123.8004,120.2503
03/20/2023,125.6664,125.3351,126.0426,124.5057
03/17/2023,123.8636,119.4306,125.1389,119.0565
03/16/2023,118.1575,118.4593,118.4851,115.6122
03/15/2023,118.5582,120.3786,120.6899,117.2397
03/14/2023,119.1067,117.708,119.6144,117.2685
03/13/2023,117.9444,114.2123,118.9532,114.2123
03/10/2023,111.5901,112.2907,114.8354,111.3416
03/09/2023,110.5276,112.0145,113.1846,110.0935
03/08/2023,111.248,112.0099,113.4237,110.5977
03/07/2023,111.6943,115.3779,115.5222,111.1258
03/06/2023,116.7899,118.1192,118.517,116.2182
03/03/2023,118.9045,118.0793,118.9482,117.0956
03/02/2023,116.9527,115.9947,116.958,115.5266
